Voxel_X,Voxel_Y,Voxel_Z,Uniformity_Value
-30.0,14.0,-8.0,3.6534850308353284
-30.0,14.0,-4.0,3.6534850308353284
-30.0,14.0,52.0,3.6534850308353284
-38.0,14.0,28.0,3.6534850308353284
-40.0,14.0,-8.0,3.6534850308353284
-40.0,14.0,24.0,3.6534850308353284
-40.0,14.0,26.0,3.6534850308353284
-42.0,14.0,-4.0,3.6534850308353284
-42.0,14.0,36.0,3.6534850308353284
-42.0,14.0,38.0,3.6534850308353284
-44.0,14.0,36.0,3.6534850308353284
-44.0,14.0,38.0,3.6534850308353284
-46.0,14.0,-8.0,3.6534850308353284
-46.0,14.0,-4.0,3.6534850308353284
-46.0,14.0,-2.0,3.6534850308353284
-46.0,14.0,26.0,3.6534850308353284
-46.0,14.0,34.0,3.6534850308353284
48.0,16.0,26.0,3.6534850308353284
48.0,16.0,-2.0,3.6534850308353284
50.0,16.0,-14.0,3.6534850308353284
52.0,16.0,26.0,3.6534850308353284
54.0,16.0,34.0,3.6534850308353284
54.0,16.0,28.0,3.6534850308353284
-28.0,14.0,-4.0,3.6534850308353284
54.0,16.0,-4.0,3.6534850308353284
-52.0,14.0,22.0,3.6534850308353284
-52.0,14.0,20.0,3.6534850308353284
-50.0,14.0,30.0,3.6534850308353284
-50.0,14.0,28.0,3.6534850308353284
-48.0,14.0,28.0,3.6534850308353284
-46.0,14.0,36.0,3.6534850308353284
-54.0,14.0,22.0,3.6534850308353284
46.0,16.0,0.0,3.6534850308353284
-26.0,14.0,-4.0,3.6534850308353284
-26.0,14.0,-8.0,3.6534850308353284
-8.0,14.0,2.0,3.6534850308353284
-8.0,14.0,4.0,3.6534850308353284
-8.0,14.0,6.0,3.6534850308353284
-8.0,14.0,8.0,3.6534850308353284
-10.0,14.0,-14.0,3.6534850308353284
-10.0,14.0,-6.0,3.6534850308353284
-10.0,14.0,-4.0,3.6534850308353284
-10.0,14.0,2.0,3.6534850308353284
-10.0,14.0,4.0,3.6534850308353284
-10.0,14.0,6.0,3.6534850308353284
-10.0,14.0,8.0,3.6534850308353284
-12.0,14.0,-16.0,3.6534850308353284
-12.0,14.0,-12.0,3.6534850308353284
-12.0,14.0,-10.0,3.6534850308353284
-12.0,14.0,-8.0,3.6534850308353284
-12.0,14.0,0.0,3.6534850308353284
-12.0,14.0,2.0,3.6534850308353284
-24.0,14.0,-4.0,3.6534850308353284
-24.0,14.0,-6.0,3.6534850308353284
-24.0,14.0,-8.0,3.6534850308353284
-24.0,14.0,-12.0,3.6534850308353284
-24.0,14.0,-14.0,3.6534850308353284
-22.0,14.0,-6.0,3.6534850308353284
-26.0,14.0,-6.0,3.6534850308353284
-22.0,14.0,-14.0,3.6534850308353284
-18.0,14.0,-18.0,3.6534850308353284
-16.0,14.0,-14.0,3.6534850308353284
-14.0,14.0,-6.0,3.6534850308353284
-14.0,14.0,-8.0,3.6534850308353284
